index,na_x,na_y
631,-0.280000,0.623000
632,-0.623000,-0.280000
633,0.623000,-0.280000
634,0.280000,-0.623000
635,-0.280000,-0.623000
636,-0.623000,0.280000
637,-0.554000,-0.408000
638,-0.554000,0.408000
639,-0.408000,-0.554000
640,0.554000,-0.408000
641,0.408000,0.554000
642,0.554000,0.408000
643,-0.408000,0.554000
644,0.408000,-0.554000
645,0.000000,-0.690000
646,-0.690000,0.000000
647,0.000000,0.690000
648,0.690000,0.000000
649,0.688000,0.065000
650,-0.688000,0.065000
651,0.688000,-0.065000
652,-0.065000,0.688000
653,-0.065000,-0.688000
654,-0.688000,-0.065000
655,0.065000,0.688000
656,0.065000,-0.688000
657,0.336000,-0.611000
658,-0.336000,0.611000
659,0.611000,0.336000
660,-0.611000,-0.336000
661,-0.611000,0.336000
662,0.611000,-0.336000
663,0.336000,0.611000
664,-0.336000,-0.611000
665,0.130000,0.684000
666,0.684000,-0.130000
667,-0.130000,0.684000
668,0.130000,-0.684000
669,-0.130000,-0.684000
670,-0.684000,0.130000
671,-0.684000,-0.130000
672,0.684000,0.130000
673,-0.455000,-0.541000
674,0.455000,-0.541000
675,-0.455000,0.541000
676,0.541000,0.455000
677,0.541000,-0.455000
678,-0.541000,-0.455000
679,-0.541000,0.455000
680,0.455000,0.541000
681,-0.193000,0.677000
682,-0.677000,0.193000
683,-0.193000,-0.677000
684,0.677000,0.193000
685,-0.677000,-0.193000
686,0.193000,-0.677000
687,0.193000,0.677000
688,0.677000,-0.193000
689,-0.598000,-0.388000
690,0.598000,-0.388000
691,-0.598000,0.388000
692,-0.388000,-0.598000
693,0.388000,-0.598000
694,0.388000,0.598000
695,-0.388000,0.598000
696,0.598000,0.388000
697,0.254000,0.667000
698,0.254000,-0.667000
699,-0.667000,-0.254000
700,-0.254000,-0.667000
701,0.667000,0.254000
702,-0.667000,0.254000
703,-0.254000,0.667000
704,0.667000,-0.254000
705,-0.498000,0.526000
706,0.526000,-0.498000
707,-0.526000,-0.498000
708,0.498000,-0.526000
709,-0.498000,-0.526000
710,-0.526000,0.498000
711,0.498000,0.526000
712,0.526000,0.498000
713,0.655000,-0.312000
714,0.312000,0.655000
715,-0.655000,-0.312000
716,-0.312000,0.655000
717,0.312000,-0.655000
718,-0.655000,0.312000
719,-0.312000,-0.655000
720,0.655000,0.312000
721,-0.584000,-0.437000
722,-0.584000,0.437000
723,0.437000,0.584000
724,-0.437000,0.584000
725,0.437000,-0.584000
726,-0.437000,-0.584000
727,0.584000,0.437000
728,0.584000,-0.437000
729,-0.729000,-0.033000
730,0.033000,0.729000
731,0.729000,0.033000
732,0.729000,-0.033000
733,-0.033000,-0.729000
734,-0.033000,0.729000
735,0.033000,-0.729000
736,-0.729000,0.033000
737,0.099000,-0.726000
738,0.726000,0.099000
739,-0.726000,0.099000
740,-0.099000,0.726000
741,-0.726000,-0.099000
742,0.099000,0.726000
743,-0.099000,-0.726000
744,0.726000,-0.099000
745,0.366000,-0.642000
746,-0.366000,0.642000
747,0.642000,0.366000
748,0.366000,0.642000
749,-0.366000,-0.642000
750,-0.642000,-0.366000
751,-0.642000,0.366000
752,0.642000,-0.366000
753,0.163000,-0.720000
754,-0.163000,0.720000
755,-0.720000,-0.163000
756,0.720000,0.163000
757,-0.720000,0.163000
